[0.019, 0.009, 0.172, -85.566, -5.492, -165.888]   ===>   [0.008, 0.066, -0.159],  actual: [0.009, 0.066, -0.159]  (mse: 0.000002)
[0.023, -0.039, 0.186, -80.956, 7.132, -160.611]   ===>   [0.013, 0.015, -0.161],  actual: [0.013, 0.015, -0.161]  (mse: 0.000000)
[0.024, -0.015, 0.184, -19.956, 11.665, -162.507]   ===>   [0.009, 0.037, -0.163],  actual: [0.010, 0.037, -0.163]  (mse: 0.000001)
[0.007, -0.001, 0.177, 8.712, -2.527, -162.257]   ===>   [0.025, 0.054, -0.163],  actual: [0.024, 0.054, -0.162]  (mse: 0.000004)
[-0.017, -0.035, 0.179, 0.786, -5.231, -165.384]   ===>   [0.054, 0.021, -0.167],  actual: [0.055, 0.021, -0.167]  (mse: 0.000001)
[-0.029, -0.040, 0.186, -40.877, 13.162, -146.654]   ===>   [0.067, 0.019, -0.167],  actual: [0.067, 0.019, -0.167]  (mse: 0.000000)
[0.003, -0.040, 0.189, 8.783, 8.544, -161.887]   ===>   [0.034, 0.015, -0.165],  actual: [0.035, 0.014, -0.166]  (mse: 0.000001)
[0.026, -0.035, 0.192, -83.557, 4.086, -174.020]   ===>   [0.011, 0.020, -0.162],  actual: [0.011, 0.019, -0.161]  (mse: 0.000001)
[0.023, -0.030, 0.192, 74.367, 6.032, -161.212]   ===>   [0.014, 0.022, -0.163],  actual: [0.014, 0.022, -0.163]  (mse: 0.000001)
[0.001, -0.039, 0.198, 42.841, -6.220, -159.817]   ===>   [0.036, 0.017, -0.165],  actual: [0.036, 0.016, -0.167]  (mse: 0.000006)
[0.013, -0.024, 0.192, 44.449, -4.261, -158.542]   ===>   [0.023, 0.029, -0.164],  actual: [0.023, 0.029, -0.165]  (mse: 0.000000)
[0.019, -0.037, 0.181, -81.592, 20.969, -164.798]   ===>   [0.018, 0.015, -0.162],  actual: [0.018, 0.014, -0.162]  (mse: 0.000001)
[0.016, -0.029, 0.195, -52.567, 3.573, -161.765]   ===>   [0.019, 0.026, -0.165],  actual: [0.019, 0.026, -0.165]  (mse: 0.000000)
[-0.013, -0.041, 0.192, -63.705, 16.066, -151.186]   ===>   [0.050, 0.018, -0.168],  actual: [0.050, 0.018, -0.167]  (mse: 0.000000)
[-0.032, -0.036, 0.184, 3.968, -11.013, -172.005]   ===>   [0.069, 0.024, -0.169],  actual: [0.069, 0.024, -0.167]  (mse: 0.000003)
[0.006, -0.015, 0.189, 36.124, 1.457, -157.928]   ===>   [0.028, 0.039, -0.165],  actual: [0.027, 0.039, -0.165]  (mse: 0.000001)
[-0.027, -0.022, 0.181, 83.336, -2.137, -160.948]   ===>   [0.065, 0.035, -0.169],  actual: [0.068, 0.035, -0.168]  (mse: 0.000009)
